#;sport_type;Other;age;usage_frequency;usage_reason_regeneration;usage_reason_tension;usage_reason_injury;usage_reason_pain;usage_reason_existing_condition;usage_phase;application_method;product_evaluation_effectiveness;product_evaluation_likelihood_of_recommendation;effectiveness_rating;product_purity_rating;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;Entwickelt in Deutschland - Hergestellt in Österreich;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;Etabliert im Profisport;Zieht gut ein & fettet nicht;Other;recommendation_likelihood;reason_effectiveness;Ich habe doch keinen Bedarf;reason_price;Die Flasche ist in der Anwendung unpraktisch;importance_of_price;Wie viel wärst du bereit, maximal für den 50 ml Muscle Complex zu zahlen?;Wie lange kommst du in der Regel mit einer 50 ml Flasche aus?;Wenn du kostenlos unbegrenzt Muscle Complex zu Hause hättest – würdest du ihn häufiger nutzen?;Ab welchem Preis würdest du ihn vermutlich häufiger und ohne Zögern verwenden – so, wie’s für dich eigentlich am besten wäre?;Hast du noch weiteres Feedback zu unseren Produkten oder zum Service?;;;;;;;
8kaum8hcviygfvwif8kaum363pmx4xo2;Rennrad;;55–64 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;4;7;Spürbare Wirkung;;;;;;;Zieht gut ein & fettet nicht;;7;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
mkooaiwhxv69kngqw7mkooaiios3e44e;Laufen;;35–44 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;2;1;2;;Wissenschaftlich fundiert;;;;Einfach & schnell anzuwenden;;;;1;;;Der Preis ist mir zu hoch;;10;29,90€ oder weniger;weniger als 1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
ygimztna5b11sbswrygimzsev5vdojlp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48bi7ga10uo5bv32148bi19ebwcp40sa;Rennrad;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;4;8;Spürbare Wirkung;;;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
5ov1g66t2shxfovmyrd5ov1cw2uhjy4n;Laufen;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;2;7;;;;;;Einfach & schnell anzuwenden;Etabliert im Profisport;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
sdetepywf5pfkkjdupjqssdetef3l3pd;Laufen;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;4;10;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;;;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;Klasse nach jedem Training. Aber auch ein Gamechanger bei Verspannungen in Nacken und Schultern.;;;;;;;
bynmnir857pbko1yssbynmnxu9duyocx;Laufen;;55–64 Jahre;5-7x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;5;10;;;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Großes Kompliment.Ist bei mir nicht mehr wegzudenken.;;;;;;;
g8pdvgv5zkdba0m66aqg8pdvgv77lrt6;Muskelaufbau;;35–44 Jahre;1-2x pro Woche;;Verspannungen lösen;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;5;10;Spürbare Wirkung;;;Entwickelt in Deutschland - Hergestellt in Österreich;;;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
5sw1xj9jt87j99ywln1l2lcjcp5sw1xj;Laufen;;18–24 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;6;10;;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;Etabliert im Profisport;;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
hr9en6pgz0xnghu4zeqzydewaerox6pk;Triathlon;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;7;3;8;Spürbare Wirkung;;;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;Gut aber teuer. Flasche zeigt den Inhalt nicht. Man sieht nicht wieviel drin ist. Würde das gerne sehen;;;;;;;
jzmd7sdvkzasec8mejzmd7sd5fnan820;Laufen;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;3;5;;;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;5;Die Wirkung war mir nicht spürbar genug;;Der Preis ist mir zu hoch;;10;39,90 €;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;ein anteil füllstoffe würde helfen die menge besser zu verteilen. ich nutze einen hub je bein und es schwierig damit das gesamte bein einzucremenen. eine höhere (doppelte) menge würde die gleichen wirkstoffe besser verteilen.;;;;;;;
anrn9puvzegr9bwanr0m2enjs0ctt1nv;Laufen;;25–34 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;7;3;10;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
bdktu3cfm3tbwc2dbd7ogr429j5t7og3;Rennrad;;25–34 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich nutze ihn so oft und so viel, wie ich es brauche – unabhängig davon, wie lange die Flasche hält;5;3;8;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;Zieht gut ein & fettet nicht;;5;;;Der Preis ist mir zu hoch;;10;29,90€ oder weniger;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
n0cwjc0ins1bggya305ln0cwjmuvt6o7;Laufen;;55–64 Jahre;5-7x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;6;8;;;;;;Einfach & schnell anzuwenden;;;;3;;;Der Preis ist mir zu hoch;;10;29,90€ oder weniger;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
csj99mebe5a16pacsj99q75uvf6hthy2;Laufen;;45–54 Jahre;1-2x pro Woche;;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;4;8;;;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Weit so .;;;;;;;
n7fq1qtbf2y5eonm8n7fq1g3e1oqwei7;Laufen;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;5;8;Spürbare Wirkung;;;;;;;;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;39,90 €;;;;;;;;
oeceadt9p7hgiwk0trcstoeceansiksj;Laufen;;35–44 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;3;10;Spürbare Wirkung;;;Entwickelt in Deutschland - Hergestellt in Österreich;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;Etabliert im Profisport;Zieht gut ein & fettet nicht;;7;;;;;;;5-6 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
p0xvbit0wswpzj1tyio90p0xvbjeg2sw;Laufen;;55–64 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;9;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;Etabliert im Profisport;;;6;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
lhe8072w91aff0sfblhe80dt0kyc5cy7;Laufen;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;5;9;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;Entwickelt in Deutschland - Hergestellt in Österreich;;Einfach & schnell anzuwenden;Etabliert im Profisport;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;39,90 €;;;;;;;;
jghykqfxcc3qmmchjghy7ga7mlfv24cz;Laufen;;35–44 Jahre;5-7x pro Woche;;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;4;9;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;;;Etabliert im Profisport;;;6;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;Lebe in den USA und muss immer über meinen Papa bestellen. Ist immer auswendig;;;;;;;
e20c0heodh0oktjb0err4e20c0nhp786;Triathlon;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;2;7;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;;Zieht gut ein & fettet nicht;;6;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Tolles Produkt, aber für die regelmäßige Anwendung zu teuer.;;;;;;;
7uvvjtdzfl9rocc897uvvjhhif5ftt3x;Laufen;;35–44 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;4;8;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
z1rus9akiex8vr2if1z1rud4yog9ifvl;Laufen;;35–44 Jahre;3-4x pro Woche;;Verspannungen lösen;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;9;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;;;;;;7;;;;;;;2 Monate;Vielleicht – ich hätte gerne noch mehr Tipps, wann die Anwendung sinnvoll ist;;;;;;;;;
zqkvybz4ovvuc2qdzqkvxq1qev2c3n5g;Laufen;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;3;8;Spürbare Wirkung;;;;;;Etabliert im Profisport;;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
ltihvwym4t2nnf707ytltihvw155uav2;Laufen;;35–44 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;5;8;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
1klxo9z0d4bsyzjvn21klxo9uopz2qpt;Fußball;;35–44 Jahre;8x oder öfter pro Woche;;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;5;8;Spürbare Wirkung;Wissenschaftlich fundiert;;Entwickelt in Deutschland - Hergestellt in Österreich;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;Etabliert im Profisport;Zieht gut ein & fettet nicht;;5;;;Der Preis ist mir zu hoch;;10;44,90 € oder mehr;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
4nfk6ytr1qmyq4nfk3uhl844mmf2x8zf;Laufen;;35–44 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;7;;;;;;Einfach & schnell anzuwenden;Etabliert im Profisport;;;5;;;Der Preis ist mir zu hoch;;8;29,90€ oder weniger;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
4cidk6ouccsgl1d084cidk61cyj4jmpw;Laufen;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;5;9;Spürbare Wirkung;;;;;;;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
sss70koi5k0gsmfra4sss7tkuygfaajc;Laufen;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;Nur bei Beschwerden;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;6;9;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;;;5;;;Der Preis ist mir zu hoch;;7;39,90 €;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Danke für ein ehrliches und wirksames Produkt!;;;;;;;
u0x28fi1n0zl77kav7gu0x2o921h88da;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2d57vfv2qr1i0rxza2d57vmx6lpyxg68;Laufen;;35–44 Jahre;8x oder öfter pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;4;3;5;Spürbare Wirkung;;;;100% natürlich und Bio-zertifiziert;;;Zieht gut ein & fettet nicht;;5;Die Wirkung war mir nicht spürbar genug;;Der Preis ist mir zu hoch;;8;34,90 €;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
56a82buhflf58pwnp56a82qp5wv4tm77;Muskelaufbau;;45–54 Jahre;3-4x pro Woche;;Verspannungen lösen;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;2;9;;;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
fnj15qhexcp61gowfnj14vaundu6mzix;Laufen;;55–64 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;10;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
6lcgnipg94r6oc3w6lcgfccjsvnbo5z1;Laufen;;45–54 Jahre;8x oder öfter pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;7;5;8;Spürbare Wirkung;;;;;;Etabliert im Profisport;;;7;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Macht bitte weiter so und bleibt eurer Linie treu! 🙏;;;;;;;
c97emf61kxpo0ntwxc97emfs86462m3h;Laufen;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;5;8;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
b90v8jyjd4r4haptgwdcg0pb90v8jyjm;Laufen;;35–44 Jahre;3-4x pro Woche;;Verspannungen lösen;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;4;8;;;100% Wirkstoffe, 0% Füllstoffe;Entwickelt in Deutschland - Hergestellt in Österreich;;;;;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
xqbmr0gzvor3p4wsurwwwxqbmr0bv9m1;Triathlon;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich nutze ihn so oft und so viel, wie ich es brauche – unabhängig davon, wie lange die Flasche hält;5;3;8;;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
vq6q2ocuz4kwsz6r13vq6q2x6317lkez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
iz5hbr5hvr562sorvl8iz5hhk3s8oezf;Laufen;;25–34 Jahre;8x oder öfter pro Woche;;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;Nur bei Beschwerden;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;7;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;;;;;;5;;;Der Preis ist mir zu hoch;;8;29,90€ oder weniger;2 Monate;Eher nicht – ich habe gar nicht mehr Bedarf;;;;;;;;;
x3p88btdlf93z3508y0xx3p88vf6mus9;Triathlon;;45–54 Jahre;5-7x pro Woche;;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;3;10;Spürbare Wirkung;;;;;;;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
kpr38242kpif9sxdukpr380f66h3ory0;Laufen;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich nutze ihn so oft und so viel, wie ich es brauche – unabhängig davon, wie lange die Flasche hält;6;6;10;Spürbare Wirkung;;;;100% natürlich und Bio-zertifiziert;;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;39,90 €;"Ich freue mich auf euren Neuzugang, den ihr beim
Berlin-Marathon vorstellt. Der Service ist ganz exzellent!!!!";;;;;;;
gs18j4z4nnntgao559gs18yqmey6v4tt;Triathlon;;25–34 Jahre;5-7x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;7;6;10;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;Entwickelt in Deutschland - Hergestellt in Österreich;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Vielleicht – ich hätte gerne noch mehr Tipps, wann die Anwendung sinnvoll ist;;;;;;;;;
ixsfqflacougo6qu2iixsf57jjd68b5q;Fußball;;25–34 Jahre;1-2x pro Woche;;Verspannungen lösen;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;3;8;;Wissenschaftlich fundiert;;;100% natürlich und Bio-zertifiziert;;Etabliert im Profisport;;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
yot7k7wdrzhcuse8qznzln3gyot7k7ww;Laufen;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;3;9;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;Entwickelt in Deutschland - Hergestellt in Österreich;;;Etabliert im Profisport;;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
365y56xn5g1z3i6365y560no0osmgdfs;Laufen;;;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;7;5;10;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;;;;7;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;Geile Produkte! Macht weiter solchen qualitativ hochwertigen Kram 🧡;;;;;;;
